Date,Open,High,Low,Close,Adj Close,Volume
2017-02-21,8.951944,9.411232,8.951944,9.394531,7.148853,12508779
2017-02-22,9.411232,9.803715,9.077205,9.185764,6.989989,18043648
2017-02-23,9.352777,9.603298,8.960295,8.993698,6.843834,12661102
2017-02-24,8.868437,9.102257,8.726475,8.926892,6.792999,7541288
2017-03-01,8.726475,8.960295,8.576163,8.935243,6.799352,6748420
2017-03-02,8.976996,9.027100,8.718125,8.918541,6.786644,11347439
2017-03-03,8.901840,9.402882,8.843385,9.361128,7.123434,9873549
2017-03-06,9.394531,9.578246,9.160711,9.269271,7.053533,5611629
2017-03-07,9.436284,9.761961,9.244218,9.728559,7.403035,8588267
2017-03-08,9.761961,9.837118,9.227517,9.436284,7.180625,9304255
2017-03-09,9.436284,9.461336,8.935243,9.077205,6.907381,10538524
2017-03-10,9.027100,9.227517,8.976996,9.144010,6.958214,5803110
2017-03-13,9.478038,9.728559,9.394531,9.586597,7.295007,7698641
2017-03-14,9.603298,9.603298,9.110607,9.194114,6.996342,8466241
2017-03-15,9.235868,9.444635,9.077205,9.369479,7.129789,9312518
2017-03-16,9.444635,9.778663,9.419583,9.678455,7.364906,7987479
2017-03-17,9.761961,10.054236,9.469687,9.670104,7.358553,14607886
2017-03-20,9.686805,9.803715,9.052152,9.118958,6.939153,11044230
2017-03-21,9.135659,9.260920,8.384097,8.384097,6.379953,16745313
2017-03-22,8.342343,8.359045,7.523975,8.208732,6.246508,28427814
2017-03-23,8.183680,8.559461,8.033368,8.208732,6.246508,12916051
2017-03-24,8.392448,8.642968,8.350694,8.526059,6.487981,9154208
2017-03-27,8.442552,8.818333,8.233784,8.801632,6.697680,9702186
2017-03-28,8.951944,8.951944,8.517708,8.659670,6.589653,13467262
2017-03-29,8.400798,8.734826,8.292239,8.642968,6.576944,8224824
2017-03-30,8.642968,8.726475,8.442552,8.567812,6.519754,3540064
2017-03-31,8.425850,8.718125,8.417500,8.617916,6.557880,3823274
2017-04-03,8.751527,8.751527,8.442552,8.559461,6.513398,3716098
2017-04-04,8.551111,8.576163,8.250486,8.292239,6.310053,7973827
2017-04-05,8.317291,8.467604,8.141927,8.208732,6.246508,4737330
2017-04-06,8.258836,8.350694,8.008316,8.108524,6.170254,10095687
2017-04-07,8.116875,8.267187,7.958211,8.200382,6.240154,9389039
2017-04-10,8.200382,8.242135,7.949861,8.016666,6.100353,8529470
2017-04-11,8.091823,8.325642,7.958211,8.250486,6.278281,9026315
2017-04-12,7.999965,8.166979,7.799548,7.933159,6.036808,18308536
2017-04-13,7.916458,8.016666,7.532326,7.532326,5.731791,13159144
2017-04-17,7.582430,7.949861,7.582430,7.849652,5.973263,9376226
2017-04-18,7.807899,7.966562,7.766145,7.883055,5.998681,7716483
2017-04-19,7.933159,8.125225,7.774496,7.799548,5.935135,7782586
2017-04-20,7.858003,8.091823,7.807899,7.941510,6.043162,5198609
2017-04-24,7.966562,8.100173,7.782847,7.858003,5.979618,7024445
2017-04-25,7.899757,7.908107,7.724392,7.824600,5.954199,6844340
2017-04-26,7.724392,7.791198,7.390364,7.432118,5.655537,15294296
2017-04-27,7.515625,7.523975,7.098090,7.164895,5.452190,16188473
2017-04-28,7.198298,7.415416,7.114791,7.415416,5.642827,12999756
2017-05-02,7.465520,7.757795,7.340260,7.757795,5.903363,12123422
2017-05-03,7.741093,8.258836,7.699340,8.058420,6.132127,20497097
2017-05-04,8.075121,8.108524,7.540677,7.615833,5.795335,10488468
2017-05-05,7.624184,7.741093,7.423767,7.590781,5.776272,8454266
2017-05-08,7.599132,7.632534,7.398715,7.440468,5.661891,8269491
2017-05-09,7.482222,7.649236,7.473871,7.515625,5.719082,5520738
2017-05-10,7.624184,7.640885,7.423767,7.423767,5.649182,12606615
2017-05-11,7.473871,7.532326,7.340260,7.390364,5.623764,10496971
2017-05-12,7.473871,7.665937,7.407066,7.665937,5.833463,9399218
2017-05-15,7.549027,7.557378,7.407066,7.432118,5.731571,7113060
2017-05-16,7.599132,7.599132,7.281805,7.398715,5.705811,10686416
2017-05-17,7.348611,7.465520,7.323559,7.356961,5.673611,5021857
2017-05-18,4.292257,6.530243,4.292257,5.853836,4.514416,34567663
2017-05-19,6.179514,6.388281,6.096007,6.112708,4.714056,20879939
2017-05-22,6.029201,6.112708,5.745277,5.928993,4.572377,11109734
2017-05-23,5.970746,6.246319,5.937343,6.179514,4.765575,8348527
2017-05-24,6.271371,6.463437,6.237968,6.329826,4.881494,9302938
2017-05-25,6.354878,6.538593,6.212916,6.271371,4.836414,6730577
2017-05-26,6.338177,6.563645,6.329826,6.471788,4.990974,10021441
2017-05-29,6.471788,6.471788,6.471788,6.471788,4.990974,0
2017-05-30,6.446736,6.613750,6.404982,6.480139,4.997415,5127717
2017-05-31,6.513541,6.530243,6.296423,6.379930,4.920135,7315439
2017-06-01,6.388281,6.480139,6.204566,6.221267,4.797775,4881749
2017-06-02,6.438385,6.463437,6.304774,6.388281,4.926574,6468803
2017-06-05,6.346527,6.463437,6.329826,6.404982,4.939454,4680448
2017-06-06,6.413333,6.571996,6.404982,6.521892,5.029614,4741162
2017-06-07,6.546944,6.597048,6.371579,6.404982,4.939454,4604886
