Date,Open,High,Low,Close,Adj Close,Volume
2018-01-25,110.639999,110.639999,110.639999,110.639999,110.639999,0
2018-01-26,110.639999,110.639999,110.639999,110.639999,110.639999,0
2018-01-29,116.800003,118.320000,116.800003,118.320000,118.320000,350
2018-01-30,123.160004,127.239998,121.959999,122.199997,122.199997,15825
2018-01-31,119.839996,122.720001,119.839996,122.599998,122.599998,2300
2018-02-01,120.599998,120.599998,115.680000,116.428001,116.428001,2700
2018-02-02,120.160004,133.199997,120.120003,131.399994,131.399994,7300
2018-02-05,135.759995,177.479996,130.520004,175.440002,175.440002,13075
2018-02-06,184.000000,232.399994,172.464005,172.464005,172.464005,3100
2018-02-07,174.960007,180.360001,167.679993,178.160004,178.160004,6950
2018-02-08,181.720001,220.720001,181.440002,220.720001,220.720001,25200
2018-02-09,198.880005,225.600006,196.000000,201.119995,201.119995,11125
2018-02-12,193.119995,200.320007,192.000000,194.199997,194.199997,3650
2018-02-13,195.240005,196.240005,190.399994,191.880005,191.880005,9150
2018-02-14,189.279999,189.320007,169.279999,169.919998,169.919998,22325
2018-02-15,164.119995,171.360001,163.539993,166.000000,166.000000,3375
2018-02-16,168.800003,170.960007,162.240005,168.479996,168.479996,4650
2018-02-20,172.800003,178.720001,171.559998,175.360001,175.360001,10975
2018-02-21,173.639999,178.160004,164.320007,178.000000,178.000000,35675
2018-02-22,172.960007,178.039993,171.199997,175.679993,175.679993,13950
2018-02-23,170.080002,171.440002,161.880005,161.960007,161.960007,13900
2018-02-26,157.279999,158.039993,154.800003,157.119995,157.119995,1025
2018-02-27,156.684006,170.479996,156.684006,169.639999,169.639999,17375
2018-02-28,165.279999,177.320007,164.800003,176.639999,176.639999,18075
2018-03-01,175.279999,197.279999,175.279999,188.800003,188.800003,11325
2018-03-02,198.720001,202.080002,180.479996,180.479996,180.479996,13975
2018-03-05,183.880005,183.880005,172.160004,173.839996,173.839996,8775
2018-03-06,172.479996,180.039993,172.479996,174.759995,174.759995,5250
2018-03-07,178.000000,178.000000,172.119995,172.160004,172.160004,800
2018-03-08,170.320007,170.399994,170.320007,170.360001,170.360001,13950
2018-03-09,161.279999,161.279999,153.000000,153.000000,153.000000,3700
2018-03-12,155.679993,160.000000,155.679993,159.039993,159.039993,475
2018-03-13,160.320007,162.839996,160.320007,162.839996,162.839996,400
2018-03-14,161.960007,167.880005,161.960007,166.399994,166.399994,6000
2018-03-15,161.039993,162.759995,161.039993,161.759995,161.759995,200
2018-03-16,157.199997,157.199997,157.199997,157.199997,157.199997,250
2018-03-19,161.279999,180.720001,161.279999,173.479996,173.479996,4350
2018-03-20,172.320007,172.320007,170.160004,170.160004,170.160004,475
2018-03-21,167.839996,168.479996,159.199997,163.960007,163.960007,3825
2018-03-22,180.639999,190.119995,173.720001,188.800003,188.800003,6900
2018-03-23,188.160004,200.080002,182.080002,200.000000,200.000000,7825
2018-03-26,188.559998,196.880005,185.199997,185.199997,185.199997,8450
2018-03-27,185.199997,202.399994,185.199997,199.119995,199.119995,8450
2018-03-28,204.919998,206.000000,200.380005,200.380005,200.380005,13125
2018-03-29,196.000000,196.000000,196.000000,196.000000,196.000000,100
2018-04-02,194.639999,213.679993,193.759995,207.360001,207.360001,1125
2018-04-03,202.240005,204.679993,198.479996,198.479996,198.479996,150
2018-04-04,210.479996,210.880005,194.160004,194.720001,194.720001,700
2018-04-05,189.479996,189.479996,189.479996,189.479996,189.479996,500
2018-04-06,191.639999,206.800003,191.639999,199.199997,199.199997,225
2018-04-09,199.199997,199.199997,199.199997,199.199997,199.199997,250
2018-04-10,199.199997,199.199997,199.199997,199.199997,199.199997,25
2018-04-11,199.199997,199.199997,199.199997,199.199997,199.199997,25
